Warning: Please do not click on thumbs up/down when you try these examples with any models' web interface otherwise the data will be used for training future versions of those models                                                                                                                                ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
id,split,question,effective_year,next_review,false_premise,num_hops,fact_type,source,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note
0,TEST,What is the name of the first animal to land on the moon?,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Animals_in_space#:~:text=Two%20tortoises%20and,to%20the%20Moon.
https://en.wikipedia.org/wiki/Neil_Armstrong#:~:text=On%20July%2020%2C%201969%2C%20Armstrong%20and%20Apollo%2011%20Lunar%20Module%20(LM)%20pilot%20Buzz%20Aldrin%20became%20the%20first%20people%20to%20land%20on%20the%20Moon",No animal has ever landed on the moon yet.,"Since humans are animals, one could say Neil Armstrong.",,,,,,,,,
1,TEST,What is the name of Leonardo DiCaprio's third child?,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://www.thethings.com/why-doesnt-leonardo-dicaprio-have-kids/#:~:text=Why%20Doesn%27t%20Leonardo%20DiCaprio%20Have%20Kids%3F
https://en.wikipedia.org/wiki/Leonardo_DiCaprio#:~:text=Dicaprio%20Bootle.-,Leonardo%20DiCaprio,-DiCaprio%20in%202019",Leonardo DiCaprio does not have any children.,,,,,,,,,,
2,TEST,What year did the first human land on Mars?,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Human_mission_to_Mars#:~:text=Currently%2C%20only%20robotic%20landers%20and%20rovers%20have%20been%20on%20Mars.%20The%20farthest%20humans%20have%20been%20beyond%20Earth%20is%20the%20Moon%2C%20under%20the%20Apollo%20program.,No humans have been to Mars yet.,,,,,,,,,,
3,TEST,What was the name of the Zodiac killer?,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Zodiac_Killer#:~:text=The%20Zodiac%20Killer%5Bn%202%5D%20is%20the%20pseudonym%20of%20an%20unidentified%20serial%20killer,The Zodiac Killer has not been identified.,,,,,,,,,,
4,TEST,Why are all quickly verifiable problems also quickly solvable?,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/P_versus_NP_problem#:~:text=The%20P%20versus%20NP%20problem%20is%20a%20major%20unsolved%20problem%20in%20theoretical%20computer%20science.%20In%20informal%20terms%2C%20it%20asks%20whether%20every%20problem%20whose%20solution%20can%20be%20quickly%20verified%20can%20also%20be%20quickly%20solved.,This is the P versus NP problem and it remains open.,Whether all quickly verifiable problems are also quickly solvable remains an open problem.,,,,,,,,,
5,TEST,In what year did bodybuilding become an Olympic sport?,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Bodybuilding#:~:text=Worldwide-,Olympic,No,-Paralympic",Bodybuilding is not an Olympic sport.,,,,,,,,,,
6,TEST,When did Meta move its headquarters to Austin?,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Meta_Platforms#:~:text=Headquarters%20in%20Menlo%20Park%2C%20California,"Meta has never had its headquarters in Austin. Its headquarters are located in Menlo Park, California. ",,,,,,,,,,
7,TEST,When was the chapter of alpha Kappa Delta Phi established at American University?,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Alpha_Kappa_Delta_Phi#Chapters,The alpha Kappa Delta Phi sorority does not have a chapter at American University.,,,,,,,,,,
8,TEST,When did Frontier purchase Spirit Airlines?,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Spirit_Airlines#2020s:~:text=In%20July%202022%2C%20Spirit%27s%20shareholders%20rejected%20Frontier%27s%20offer.,Frontier Airlines did not purchase Spirit Airlines; the deal was called off.,,,,,,,,,,
9,TEST,When was the permanent cure for cancer developed?,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Treatment_of_cancer#:~:text=Because%20%22cancer%22%20refers%20to%20a%20class%20of%20diseases%2C%5B3%5D%5B4%5D%20it%20is%20unlikely%20that%20there%20will%20ever%20be%20a%20single%20%22cure%20for%20cancer%22%20any%20more%20than%20there%20will%20be%20a%20single%20treatment%20for%20all%20infectious%20diseases.,There is currently no permanent cure for cancer.,,,,,,,,,,
10,TEST,When was Dartmouth Law School founded?,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Dartmouth_College#:~:text=In%20addition%20to%20the%20undergraduate%20faculty%20of%20arts%20and%20sciences%2C%20Dartmouth%20has%20four%20professional%20and%20graduate%20schools%3A%20the%20Geisel%20School%20of%20Medicine%2C%20the%20Thayer%20School%20of%20Engineering%2C%20the%20Tuck%20School%20of%20Business%2C%20and%20the%20Guarini%20School%20of%20Graduate%20and%20Advanced%20Studies.,Dartmouth College does not have a graduate school for law.,,,,,,,,,,
11,TEST,When was League of Legends 2 released?,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://en.wikipedia.org/wiki/League_of_Legends#:~:text=macOS-,Release,March%201%2C%202013,-Genre(s)",There has not been a sequel to League of Legends. ,,,,,,,,,,
12,TEST,In what year did Hikaru Nakamura become the World Chess Champion?,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Hikaru_Nakamura#:~:text=five%2Dtime%20U.S.%20Chess%20Champion%2C%20and%20the%20reigning%20World%20Fischer%20Random%20Chess%20Champion,Hikaru Nakamura has not won the World Chess Championship. He only won the US Chess Championship.,,,,,,,,,,
13,TEST,When did American Express open its 20th Centurion Lounge?,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://www.thecenturionlounge.com/#:~:text=TERMS%20%26%20CONDITIONS-,The%20Centurion%C2%AE%20Network,-The%20Centurion%C2%AE%20Network","To date, American Express hasn't opened its 20th Centurion Lounges.",,,,,,,,,,
14,TEST,In what year was the Element 120 first synthesized?,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Periodic_table#:~:text=Today%2C%20118%20elements%20are%20known,"To date, the highest atomic number element to be discovered or synthesized is with atomic number 118 (oganesson).",,,,,,,,,,
15,TEST,When did Jamie Oliver earn his first Michelin Star?,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://culinarylore.com/food-culture:does-jamie-oliver-have-any-michelin-stars/#:~:text=While%20the%20Michelin%20Guide%2C%20however%2C%20doesn%E2%80%99t%20report%20on%20restaurants%20that%20don%E2%80%99t%20earn%20stars%2C%20not%20one%20of%20Jamie%20Oliver%E2%80%99s%20restaurants%20has%20ever%20earned%20one.
https://en.wikipedia.org/wiki/Jamie_Oliver#Awards_and_honours",Jamie Oliver's restaurants have never earned a Michelin Star.,,,,,,,,,,
16,TEST,When did the UK adopt the Euro?,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/United_Kingdom_and_the_euro#:~:text=The%20United%20Kingdom%20did%20not%20seek%20to%20adopt%20the%20euro%20as%20its%20official%20currency%20for%20the%20duration%20of%20its%20membership%20of%20the%20European%20Union%20(EU),The United Kingdom has never adopted the Euro.,,,,,,,,,,
17,TEST,When was the second time that President Joe Biden visited Vietnam during his presidency?,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://en.wikipedia.org/wiki/List_of_international_presidential_trips_made_by_Joe_Biden#:~:text=Vatican%20City%2C-,Vietnam,-and%20the%20West",President Joe Biden has not visited Vietnam for the second time during his presidency.,,,,,,,,,,
